Date,Open,High,Low,Close,Volume,Adj Close
2016-01-29,13.66,14.15,13.59,14.14,159984100,13.879783
2016-01-28,13.59,13.71,13.26,13.53,110996200,13.281008
2016-01-27,13.20,13.73,13.19,13.36,124095800,13.114136
2016-01-26,13.07,13.35,13.04,13.31,124246900,13.065057
2016-01-25,13.54,13.55,12.94,12.96,186419100,12.721498
2016-01-22,13.65,13.72,13.47,13.56,169999800,13.310457
2016-01-21,13.67,13.84,13.25,13.36,188976000,13.114136
2016-01-20,13.79,14.00,13.27,13.69,250537600,13.438063
2016-01-19,14.69,14.79,14.01,14.24,185727400,13.977942
2016-01-15,14.41,14.66,14.13,14.46,170939300,14.193894
2016-01-14,15.01,15.20,14.65,14.99,125920000,14.71414
2016-01-13,15.47,15.52,14.85,14.90,119413000,14.625796
2016-01-12,15.54,15.58,15.06,15.31,100023500,15.028251
2016-01-11,15.26,15.37,14.94,15.31,104611700,15.028251
2016-01-08,15.94,15.94,15.16,15.20,124782400,14.920275
2016-01-07,15.73,15.90,15.44,15.50,116255900,15.214755
2016-01-06,16.190001,16.290001,16.02,16.08,102760800,15.784081
2016-01-05,16.52,16.59,16.23,16.43,66670000,16.12764
2016-01-04,16.450001,16.49,16.25,16.43,114888000,16.12764
2015-12-31,17.01,17.07,16.83,16.83,46594300,16.520279
2015-12-30,17.200001,17.24,17.040001,17.049999,35066400,16.736229
2015-12-29,17.25,17.35,17.16,17.280001,45670400,16.961998
2015-12-28,17.219999,17.23,16.98,17.129999,41777500,16.814757
2015-12-24,17.32,17.379999,17.219999,17.27,29369400,16.952182
2015-12-23,17.16,17.34,17.10,17.34,65770700,17.020893
2015-12-22,17.049999,17.110001,16.85,17.08,56173500,16.765678
2015-12-21,16.98,17.030001,16.77,16.969999,65150300,16.657702
2015-12-18,17.190001,17.27,16.76,16.76,136737800,16.451567
2015-12-17,17.799999,17.83,17.299999,17.299999,97265700,16.981628
2015-12-16,17.65,17.780001,17.23,17.75,171576700,17.423348
2015-12-15,17.02,17.49,16.99,17.42,99737200,17.099421
2015-12-14,16.76,16.889999,16.50,16.799999,121121200,16.49083
2015-12-11,16.969999,17.059999,16.639999,16.73,91503900,16.422118
2015-12-10,17.15,17.41,16.959999,17.200001,68304000,16.88347
2015-12-09,17.110001,17.379999,16.870001,17.10,82418100,16.78531
2015-12-08,17.389999,17.459999,17.129999,17.190001,84873500,16.873654
2015-12-07,17.790001,17.799999,17.440001,17.540001,81633300,17.217213
2015-12-04,17.440001,17.83,17.379999,17.799999,103021700,17.472427
2015-12-03,17.68,17.77,17.25,17.299999,95810100,16.981628
2015-12-02,17.879999,17.889999,17.549999,17.620001,76919000,17.295741
2015-12-01,17.52,17.809999,17.48,17.809999,74351800,17.433163
2015-11-30,17.48,17.58,17.42,17.43,61893700,17.061204
2015-11-27,17.459999,17.50,17.33,17.48,22937500,17.110146
2015-11-25,17.51,17.57,17.41,17.440001,34939000,17.070993
2015-11-24,17.26,17.57,17.25,17.469999,58724200,17.100357
2015-11-23,17.620001,17.73,17.459999,17.469999,50362900,17.100357
2015-11-20,17.809999,17.83,17.59,17.65,56288300,17.276549
2015-11-19,17.780001,17.85,17.620001,17.690001,51829700,17.315703
2015-11-18,17.43,17.870001,17.43,17.84,85708300,17.462529
2015-11-17,17.50,17.60,17.34,17.42,70488600,17.051416
2015-11-16,17.129999,17.459999,17.01,17.43,70384300,17.061204
2015-11-13,17.129999,17.309999,17.09,17.200001,103574900,16.836071
2015-11-12,17.58,17.629999,17.35,17.370001,77850900,17.002474
2015-11-11,17.99,17.99,17.68,17.75,59235000,17.374433
2015-11-10,17.629999,17.940001,17.559999,17.85,59905800,17.472318
2015-11-09,18.030001,18.08,17.559999,17.68,129920700,17.305915
2015-11-06,17.84,18.09,17.76,17.950001,158037500,17.570202
2015-11-05,17.030001,17.370001,17.030001,17.309999,85505500,16.943742
2015-11-04,17.299999,17.309999,16.959999,17.01,78728400,16.650091
2015-11-03,17.01,17.26,16.99,17.18,66127100,16.816494
2015-11-02,16.90,17.139999,16.870001,17.059999,56948200,16.699032
2015-10-30,17.18,17.18,16.76,16.780001,87645800,16.424958
2015-10-29,17.16,17.440001,16.969999,17.09,95542300,16.728398
2015-10-28,16.450001,17.309999,16.450001,17.280001,147720100,16.914378
2015-10-27,16.40,16.469999,16.299999,16.40,56159300,16.052997
2015-10-26,16.52,16.549999,16.34,16.51,67702800,16.16067
2015-10-23,16.290001,16.549999,16.25,16.52,82285800,16.170459
2015-10-22,16.00,16.200001,16.00,16.16,74116600,15.818075
2015-10-21,16.26,16.290001,15.90,15.90,64440400,15.563576
2015-10-20,16.16,16.290001,16.10,16.200001,50692600,15.85723
2015-10-19,16.00,16.209999,15.98,16.139999,62953500,15.798498
2015-10-16,16.290001,16.290001,16.030001,16.120001,66989500,15.778923
2015-10-15,15.81,16.280001,15.72,16.190001,127028800,15.847441
2015-10-14,15.77,15.92,15.55,15.64,122272400,15.309078
2015-10-13,15.45,15.59,15.40,15.52,73689800,15.191617
2015-10-12,15.60,15.62,15.43,15.52,50725800,15.191617
2015-10-09,15.75,15.82,15.50,15.58,76667100,15.250347
2015-10-08,15.72,15.78,15.51,15.75,79056900,15.416751
2015-10-07,15.78,15.93,15.57,15.75,66655600,15.416751
2015-10-06,15.68,15.82,15.57,15.69,67473700,15.35802
2015-10-05,15.45,15.79,15.44,15.69,75315300,15.35802
